Zeit;Kanal A
(ms);(mV)

-21,52406164;-2,44525100
-21,51906164;-0,75233760
-21,51406164;-1,12819900
-21,50906164;-0,75233760
-21,50406164;-1,31643700
-21,49906164;-1,31643700
-21,49406164;-2,06877400
-21,48906164;0,18762300
-21,48406164;-1,50467500
-21,47906164;-1,69291300
-21,47406164;-1,69291300
-21,46906164;-2,25701300
-21,46406164;-1,50467500
-21,45906164;-1,12819900
-21,45406164;-2,06877400
-21,44906164;-1,31643700
-21,44406164;-3,57345000
-21,43906164;-3,76168800
-21,43406164;-1,50467500
-21,42906164;-3,00935000
-21,42406164;-3,00935000
-21,41906164;-3,38582700
-21,41406164;-3,94992600
-21,40906164;-3,19758800
-21,40406164;-3,76168800
-21,39906164;-2,82111200
-21,39406164;-3,94992600
-21,38906164;-3,19758800
-21,38406164;-3,19758800
-21,37906164;-3,94992600
-21,37406164;-2,82111200
-21,36906164;-2,63348900
-21,36406164;-2,63348900
-21,35906164;-2,44525100
-21,35406164;-1,69291300
-21,34906164;-3,00935000
-21,34406164;-1,69291300
-21,33906164;-0,75233760
-21,33406164;-1,31643700
-21,32906164;-2,63348900
-21,32406164;-1,31643700
-21,31906164;-2,06877400
-21,31406165;-1,88053600
-21,30906165;-3,00935000
-21,30406165;-2,25701300
-21,29906165;-2,63348900
-21,29406165;-3,19758800
-21,28906165;-2,63348900
-21,28406165;-2,06877400
-21,27906165;-3,00935000
-21,27406165;-1,69291300
-21,26906165;-1,69291300
-21,26406165;-2,63348900
-21,25906165;-3,57345000
-21,25406165;-2,44525100
-21,24906165;-0,37586120
-21,24406165;0,18762300
-21,23906165;-1,69291300
-21,23406165;-1,31643700
-21,22906165;-2,06877400
-21,22406165;-2,25701300
-21,21906165;-1,12819900
-21,21406165;-2,63348900
-21,20906165;-0,75233760
-21,20406165;-0,18762300
-21,19906165;-2,06877400
-21,19406165;-2,63348900
-21,18906165;-1,69291300
-21,18406165;-2,25701300
-21,17906165;-2,06877400
-21,17406165;-2,63348900
-21,16906165;-1,31643700
-21,16406165;-1,31643700
-21,15906165;-2,25701300
-21,15406165;-1,88053600
-21,14906165;-1,12819900
-21,14406165;-1,69291300
-21,13906165;-0,56409940
-21,13406165;-1,31643700
-21,12906165;-0,75233760
-21,12406165;-1,12819900
-21,11906165;-1,69291300
-21,11406165;-2,06877400
-21,10906165;-0,93996060
-21,10406165;-1,31643700
-21,09906165;-1,31643700
-21,09406165;-1,12819900
-21,08906165;-0,37586120
-21,08406165;-0,37586120
-21,07906165;-0,56409940
-21,07406165;-0,56409940
-21,06906165;-2,06877400
-21,06406165;-0,93996060
-21,05906165;-0,93996060
-21,05406165;0,00000000
-21,04906165;-0,37586120
-21,04406165;0,18762300
-21,03906165;0,18762300
-21,03406165;0,00000000
-21,02906165;1,12819900
-21,02406165;-1,50467500
-21,01906165;0,37586120
